tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
673709992831262724,789,247,8942724,18,Twitter for iPhone,Original tweet,https://t.co/s2ktuPQd79
673708611235921920,1006,266,8942724,18,Twitter for iPhone,Original tweet,https://t.co/kLV8zUCfc8
673707060090052608,1037,362,8942724,18,Twitter for iPhone,Original tweet,https://t.co/QyH1CaY3SM
673705679337693185,1181,380,8942724,18,Twitter for iPhone,Original tweet,https://t.co/Ymg4fwKlZd
673700254269775872,1344,528,8942724,18,Twitter for iPhone,Original tweet,https://t.co/mcPd5AFfhA
673697980713705472,3710,1806,8942724,18,Twitter for iPhone,Original tweet,https://t.co/lepRCaGcgw
673689733134946305,1631,603,8942724,18,Twitter for iPhone,Original tweet,https://t.co/YPsJasNVGe
673688752737402881,1183,459,8942724,18,Twitter for iPhone,Original tweet,https://t.co/jMki5GOV3y
673686845050527744,1350,402,8942724,18,Twitter for iPhone,Original tweet,https://t.co/wImU0jdx3E
673680198160809984,1280,434,8942724,18,Twitter for iPhone,Original tweet,https://t.co/GwvpQiQ7oQ
673662677122719744,1179,344,8942724,18,Twitter for iPhone,Original tweet,https://t.co/fJulMurnfj
673656262056419329,679,219,8942724,18,Twitter for iPhone,Original tweet,https://t.co/PN8hxgZ9We
673636718965334016,1031,336,8942724,18,Twitter for iPhone,Original tweet,https://t.co/gKlLpNzIl3
673612854080196609,1500,669,8942724,18,Twitter for iPhone,Original tweet,https://t.co/0iyItbtkr8
673583129559498752,1118,333,8942724,18,Twitter for iPhone,Original tweet,https://t.co/JpoEvgbDug
673580926094458881,779,254,8942724,18,Twitter for iPhone,Original tweet,https://t.co/H6rqZyE4NP
673576835670777856,1295,521,8942724,18,Twitter for iPhone,Original tweet,https://t.co/WlKiN3ll0w
673363615379013632,968,283,8942724,18,Twitter for iPhone,Original tweet,https://t.co/m8r9rbcgX4
673359818736984064,1355,622,8942724,18,Twitter for iPhone,Original tweet,https://t.co/EPq0MRAraJ
673355879178194945,1412,531,8942724,18,Twitter for iPhone,Original tweet,https://t.co/0zUxlrhZrQ
673352124999274496,1568,502,8942724,18,Twitter for iPhone,Original tweet,https://t.co/az5PLGzVNJ
673350198937153538,714,195,8942724,18,Twitter for iPhone,Original tweet,https://t.co/RMv9EAv57u
673345638550134785,2344,1168,8942724,18,Twitter for iPhone,Original tweet,https://t.co/GpSkpN8kXS
673343217010679808,909,250,8942724,18,Twitter for iPhone,Original tweet,https://t.co/dNUbKOSiWW
673342308415348736,1192,530,8942724,18,Twitter for iPhone,Original tweet,https://t.co/w0YTuiRd1a
673320132811366400,12572,7263,8942724,18,Twitter for iPhone,Original tweet,https://t.co/iJABMhVidf
673317986296586240,828,232,8942724,18,Twitter for iPhone,Original tweet,https://t.co/juX48bWpng
673295268553605120,7036,2929,8942724,18,Twitter for iPhone,Original tweet,https://t.co/U36HYQIijg
673270968295534593,1006,335,8942724,18,Twitter for iPhone,Original tweet,https://t.co/mjC0QpXGum
673240798075449344,1335,660,8942724,18,Twitter for iPhone,Original tweet,https://t.co/1euKoOvy49
673213039743795200,2081,776,8942724,18,Twitter for iPhone,Original tweet,https://t.co/CbvCUE6PFI
673148804208660480,1588,581,8942724,18,Twitter for iPhone,Original tweet,https://t.co/tA4WpkI2cw
672997845381865473,1850,663,8942724,18,Twitter for iPhone,Original tweet,https://t.co/dph1UHNJrg
672995267319328768,885,269,8942724,18,Twitter for iPhone,Original tweet,https://t.co/odpuqtz2Fq
672988786805112832,915,267,8942723,18,Twitter for iPhone,Original tweet,https://t.co/a3zYMcvbXG
